videoname,concept,pagerank,understand
Older Adults and Digital Literacy | Overcoming Digital Divides,Jinn,0.004291558311764442,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Forward (association football),0.004219063757756132,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Social media,0.00412742869747507,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Jargon,0.004027966287773525,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Old age,0.003952913397942561,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Disability,0.003314750314467325,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Learning,0.003295368764442696,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Mobile app,0.003293194164198883,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Scientific method,0.003237699831649012,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Knowledge,0.003237103567866086,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Flip book,0.003224436776766162,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Human,0.003188805797550431,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Literacy,0.003138040479658406,0
Introduction to Digital Literacy | Digital Literacy 101,Digital media,0.05618177525081938,0
Introduction to Digital Literacy | Digital Literacy 101,Internet,0.01413558428821703,0
Introduction to Digital Literacy | Digital Literacy 101,Protein–protein interaction,0.01213369481047988,0
Introduction to Digital Literacy | Digital Literacy 101,Information Age,0.01011860162929075,0
Introduction to Digital Literacy | Digital Literacy 101,Television,0.01007307668583609,0
Introduction to Digital Literacy | Digital Literacy 101,Radio,0.00960380368634953,0
Introduction to Digital Literacy | Digital Literacy 101,Computer network,0.008829123756951284,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Time zone,0.009852605288169518,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Elder abuse,0.00829312162949264,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Telehealth,0.006985287362913606,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Closed captioning,0.006676459568044314,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Social isolation,0.004307951859511595,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Library,0.004264466217309065,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Ombudsman,0.004115515233314382,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Ollie (skateboarding),0.003942530155633081,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Advance healthcare directive,0.003894126865636854,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Ageing,0.00371565528705412,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Internet,0.003420932732426595,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Power of attorney,0.003151281801288161,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Medicaid,0.002985136185869932,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Education,0.00296247192136809,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Technology,0.002952468929514137,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Mass media,0.002946373954998447,1
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Digital literacy,0.002944093931122966,1
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Meals on Wheels,0.002809807843384025,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Legal aid,0.002801550029125706,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Literacy,0.002780851082368856,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Central Time Zone,0.002771017583668934,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Information technology,0.002718652207975183,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,World Wide Web,0.002716788586609344,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Educational technology,0.00268799016080595,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Health,0.002669893905477131,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Protein–protein interaction,0.009182233714923235,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Aging in place,0.00859366282965125,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Multi-factor authentication,0.007992750001639253,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Time management,0.005580339347011693,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Password,0.005233238482576313,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Internet,0.004474439123110931,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Library,0.00439019814627929,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Computer,0.003929651334953713,1
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Nutrition,0.003911051413059546,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Technology,0.003857047463411467,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Logging,0.003771388076822062,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Public library,0.003544715727519805,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Ageing,0.003355973365438496,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Disability,0.003281487787364257,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Email,0.003275422981489227,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Information,0.003234220575956365,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Accessibility,0.003230085940303504,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,COVID-19 pandemic,0.003211605157529074,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Education,0.003090398922986253,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Radio,0.003043920366530594,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Art,0.00296746160694798,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Knowledge,0.0029434057124596,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Smartphone,0.00294024936608919,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,YouTube,0.002938585161142179,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Human,0.002929218175637641,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Android (robot),0.01009601559348212,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Laptop,0.005103592642232519,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Disability,0.004814883297217684,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Digital literacy,0.004629469092785182,1
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Nutrition,0.004583503879637364,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Social isolation,0.004170984545594773,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Anxiety,0.004152092361953356,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Computer,0.00408095540453351,1
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Internet,0.004079573079983119,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Mental health,0.003851577452848193,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Technology,0.003654028997819635,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Library,0.003611971503247377,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Ageing,0.003407081411031597,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Means test,0.003360535743937819,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Caregiver,0.003188242795907862,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Senior center,0.003152099377126068,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Apple,0.002994952695162229,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Internet access,0.002986499808057704,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Dignity,0.002926604655195434,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Advertising,0.002907091959847871,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Communication,0.002897884681871706,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Information,0.002846713905451524,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Health,0.00269406705878715,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,World Wide Web,0.002678333346887572,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Language,0.00267284772715553,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Ombudsman,0.0194999327042076,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Advance healthcare directive,0.01772190609066301,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Power of attorney,0.01086014308584013,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Legal aid,0.0102569177433636,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Conservatorship,0.005723371260008174,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Contract,0.004824142022428504,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Long-term care,0.004632529163281947,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Nursing home,0.00449373265848668,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Money,0.004381350437493408,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Employment,0.004344982372740278,1
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Lawsuit,0.004325179925508932,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Will and testament,0.004239669268062352,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Caregiver,0.004217795140934185,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Assisted living,0.00413545073592738,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Mediation,0.004045445502841826,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Volunteering,0.003955869263869745,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Regulation,0.003917279897562649,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Poverty,0.003904608262186538,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Decision-making,0.003897530367384581,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Recycling,0.003849680976138691,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,COVID-19 pandemic,0.003845447837758919,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Real estate,0.00382181511372269,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Information,0.003775724610602426,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Ageing,0.003772348404473929,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Legislature,0.003688561773633792,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Power of attorney,0.01744194803399596,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Elder abuse,0.0160063624780093,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Legal aid,0.008739275999889443,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Endemism,0.007325790345580619,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Telehealth,0.004985335049064528,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Lawyer,0.004772333040077884,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Child support,0.004757009451031551,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Legal guardian,0.004602578480561208,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Fraud,0.004299828375788128,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Health care,0.004267913980780592,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Privacy,0.00425482224108443,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Contract,0.004074245595579847,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Divorce,0.004030867006361386,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Library,0.003964057705552412,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Consumer protection,0.00388059075760282,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Information,0.003811248684960325,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Request for proposal,0.003801866010189807,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Bank,0.003608660399622383,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Advance healthcare directive,0.003603367633529413,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Email,0.00356337743835819,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Ageing,0.003546337818490312,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,World Wide Web,0.003470558436146611,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Human,0.003412253887297923,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Justice,0.003401139526057462,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Trade,0.003396508957577332,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Double check,0.01132525766145335,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Hashtag,0.009195109632243093,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Facebook,0.008106012127642037,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Bye (sports),0.007837802568196982,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Internet,0.007422141801782506,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Social media,0.007348777510217915,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Compass,0.007277422710466189,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Library,0.006847619080512718,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Email,0.006750920420343702,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Computer,0.006625751944653156,1
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Instagram,0.006359618978639593,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Search engine,0.005876847524578191,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Continuing education,0.005867376576816626,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Technology,0.005605065007057733,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Departments of France,0.005316883716657266,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Knowledge,0.005155995650686105,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Twitter,0.005152806004646925,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,World Wide Web,0.005039277482614184,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Archive,0.004641335703903882,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,YouTube,0.004551420625946458,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Education,0.004495452144271181,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Um (cuneiform),0.004467664519504834,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Mass media,0.004318835807656597,1
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Innovation,0.00401545471306363,0
NCompass Live: Digital Literacy Training for Seniors – sponsored by the Nebraska State Unit on Aging,Go (game),0.003965473442689685,0
